id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.1542736,614100000010640,1901,Sloopvergunning verleend,woonfunctie,105,105,1,"POLYGON Z ((65715.24000000001 430550.22 0, 65711.639 430559.184 0, 65720.97 430562.92 0, 65726.77 430548.47 0, 65719.77 430545.68 0, 65717.56 430551.16 0, 65715.24000000001 430550.22 0))"
pand.9533556,599100000665460,1902,Sloopvergunning verleend,"kantoorfunctie, woonfunctie",131,144,2,"POLYGON Z ((92145.539 438087.571 0, 92154.27 438077.401 0, 92149.74800000001 438073.577 0, 92141.25 438083.98 0, 92145.539 438087.571 0))"
pand.4686618,518100000305769,1925,Sloopvergunning verleend,overige gebruiksfunctie,29,29,1,"POLYGON Z ((78224.965 455085.057 0, 78228.302 455079.42 0, 78224.65399999999 455077.278 0, 78222.352 455081.296 0, 78221.40700000001 455082.947 0, 78224.965 455085.057 0))"
pand.7380603,599100000308306,1949,Sloopvergunning verleend,woonfunctie,58,58,1,"POLYGON Z ((91174.46000000001 432444.32 0, 91178.67 432450.52 0, 91185.86 432445.64 0, 91181.64 432439.42 0, 91174.46000000001 432444.32 0))"
pand.7380604,599100000308307,1949,Sloopvergunning verleend,woonfunctie,58,58,1,"POLYGON Z ((91174.46000000001 432444.32 0, 91181.64 432439.42 0, 91177.41 432433.19 0, 91170.22 432438.07 0, 91174.46000000001 432444.32 0))"
pand.10083635,1783100000000177,1963,Sloopvergunning verleend,woonfunctie,152,152,1,"POLYGON Z ((78607.485 449206.722 0, 78604.90300000001 449205.662 0, 78607.768 449198.686 0, 78600.01300000001 449195.502 0, 78595.156 449207.33 0, 78602.91099999999 449210.515 0, 78603.103 449210.047 0, 78605.685 449211.106 0, 78607.485 449206.722 0))"
pand.10083643,1783100000034170,1970,Sloopvergunning verleend,industriefunctie,230,230,1,"POLYGON Z ((73518.89999999999 450862.007 0, 73524.751 450864.945 0, 73536.159 450843.648 0, 73530.15700000001 450840.506 0, 73527.75599999999 450839.249 0, 73516.272 450860.687 0, 73518.89999999999 450862.007 0))"
pand.10083644,1783100000038166,1985,Sloopvergunning verleend,industriefunctie,13341,13341,1,"POLYGON Z ((73485.735 450924.285 0, 73485.75900000001 450924.245 0, 73490.755 450915.829 0, 73491.284 450914.938 0, 73474.376 450905.271 0, 73454.601 450894.983 0, 73449.754 450903.713 0, 73485.735 450924.285 0))"
pand.10083648,1783100000045043,1984,Sloopvergunning verleend,woonfunctie,96,96,1,"POLYGON Z ((77706.23 446348.511 0, 77703.94899999999 446346.054 0, 77705.46000000001 446344.651 0, 77701.539 446340.427 0, 77692.504 446348.815 0, 77698.70699999999 446355.495 0, 77706.23 446348.511 0))"
pand.658360,1783100000021054,1939,Sloopvergunning verleend,woonfunctie,178,178,1,"POLYGON Z ((73480.35400000001 449462.498 0, 73484.75599999999 449455.925 0, 73483.27099999999 449454.931 0, 73483.538 449454.532 0, 73476.212 449449.626 0, 73477.704 449447.398 0, 73474.993 449445.582 0, 73473.561 449447.721 0, 73473.28200000001 449447.534 0, 73468.452 449454.747 0, 73478.719 449461.621 0, 73478.82000000001 449461.47 0, 73480.35400000001 449462.498 0))"
