id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.705953,1783100000710650,2018,Bouwvergunning verleend,woonfunctie,149,149,1,"POLYGON Z ((77149.443 449238.193 0, 77144.183 449246.698 0, 77149.541 449250.012 0, 77154.80100000001 449241.507 0, 77149.443 449238.193 0))"
pand.705954,1783100000710652,2018,Bouwvergunning verleend,woonfunctie,149,149,1,"POLYGON Z ((77157.09 449243.51 0, 77151.83 449252.015 0, 77157.18799999999 449255.329 0, 77162.448 449246.824 0, 77157.09 449243.51 0))"
pand.705955,1783100000710654,2018,Bouwvergunning verleend,woonfunctie,127,127,1,"POLYGON Z ((77162.448 449246.824 0, 77157.18799999999 449255.329 0, 77161.78 449258.169 0, 77167.03999999999 449249.665 0, 77162.448 449246.824 0))"
pand.705956,1783100000710656,2018,Bouwvergunning verleend,woonfunctie,134,134,1,"POLYGON Z ((77167.03999999999 449249.665 0, 77161.78 449258.169 0, 77166.628 449261.168 0, 77171.88800000001 449252.663 0, 77167.03999999999 449249.665 0))"
pand.705957,1783100000710658,2018,Bouwvergunning verleend,woonfunctie,134,134,1,"POLYGON Z ((77171.88800000001 449252.663 0, 77166.628 449261.168 0, 77171.476 449264.166 0, 77176.736 449255.661 0, 77171.88800000001 449252.663 0))"
pand.705958,1783100000710660,2018,Bouwvergunning verleend,woonfunctie,127,127,1,"POLYGON Z ((77181.34299999999 449258.478 0, 77176.736 449255.661 0, 77171.476 449264.166 0, 77176.068 449267.006 0, 77181.34299999999 449258.478 0))"
pand.705959,1783100000710662,2018,Bouwvergunning verleend,woonfunctie,149,149,1,"POLYGON Z ((77181.32799999999 449258.502 0, 77176.068 449267.006 0, 77181.42600000001 449270.32 0, 77186.686 449261.815 0, 77181.32799999999 449258.502 0))"
pand.705962,1783100000710666,2018,Bouwvergunning verleend,woonfunctie,141,141,1,"POLYGON Z ((77189.238 449263.393 0, 77183.978 449271.898 0, 77189.08100000001 449275.054 0, 77194.341 449266.549 0, 77189.238 449263.393 0))"
pand.705964,1783100000710669,2018,Bouwvergunning verleend,woonfunctie,127,127,1,"POLYGON Z ((77194.341 449266.549 0, 77189.08100000001 449275.054 0, 77193.673 449277.895 0, 77198.933 449269.39 0, 77194.341 449266.549 0))"
pand.705966,1783100000710673,2018,Bouwvergunning verleend,woonfunctie,134,134,1,"POLYGON Z ((77198.933 449269.39 0, 77193.673 449277.895 0, 77198.52099999999 449280.893 0, 77203.781 449272.388 0, 77198.933 449269.39 0))"
pand.705968,1783100000710676,2018,Bouwvergunning verleend,woonfunctie,134,134,1,"POLYGON Z ((77203.781 449272.388 0, 77198.52099999999 449280.893 0, 77203.36900000001 449283.891 0, 77208.625 449275.392 0, 77203.781 449272.388 0))"
pand.705969,1783100000710678,2018,Bouwvergunning verleend,woonfunctie,127,127,1,"POLYGON Z ((77208.625 449275.392 0, 77203.36900000001 449283.891 0, 77207.961 449286.732 0, 77213.22100000001 449278.227 0, 77208.625 449275.392 0))"
pand.705970,1783100000710682,2018,Bouwvergunning verleend,woonfunctie,151,151,1,"POLYGON Z ((77213.22100000001 449278.227 0, 77207.961 449286.732 0, 77213.319 449290.045 0, 77215.02899999999 449287.281 0, 77215.284 449287.439 0, 77218.579 449281.541 0, 77213.22100000001 449278.227 0))"
pand.705995,1783100000710707,2018,Bouwvergunning verleend,woonfunctie,143,143,1,"POLYGON Z ((77264.098 449274.694 0, 77255.594 449269.434 0, 77252.28 449274.792 0, 77257.129 449277.791 0, 77255.40399999999 449280.581 0, 77260.753 449283.927 0, 77262.611 449280.923 0, 77260.89999999999 449279.865 0, 77264.098 449274.694 0))"
pand.705996,1783100000710711,2018,Bouwvergunning verleend,woonfunctie,152,152,1,"POLYGON Z ((77255.594 449269.434 0, 77264.098 449274.694 0, 77267.296 449269.523 0, 77269.007 449270.581 0, 77270.87699999999 449267.559 0, 77265.482 449264.285 0, 77263.75599999999 449267.075 0, 77258.90700000001 449264.076 0, 77255.594 449269.434 0))"
pand.706048,1783100000711086,2018,Bouwvergunning verleend,woonfunctie,283,283,1,"POLYGON Z ((77147.246 448407.871 0, 77156.268 448412.63 0, 77159.394 448406.704 0, 77158.952 448406.471 0, 77159.558 448405.321 0, 77160.88499999999 448406.021 0, 77163.38499999999 448401.282 0, 77164.266 448401.755 0, 77165.666 448399.102 0, 77164.781 448398.635 0, 77167.277 448393.903 0, 77163.753 448392.046 0, 77164.20699999999 448391.184 0, 77160.466 448389.21 0, 77160.022 448390.052 0, 77158.963 448389.518 0, 77156.455 448394.272 0, 77155.592 448393.818 0, 77152.262 448400.131 0, 77153.124 448400.586 0, 77152.571 448401.635 0, 77153.156 448401.943 0, 77152.584 448403.111 0, 77150.372 448401.945 0, 77147.246 448407.871 0))"
pand.706079,1783100000711461,2018,Bouwvergunning verleend,woonfunctie,234,234,1,"POLYGON Z ((73191.08 446465.07 0, 73198.39200000001 446469.785 0, 73201.811 446464.482 0, 73206.045 446467.212 0, 73210.64599999999 446460.077 0, 73206.412 446457.347 0, 73204.787 446459.868 0, 73197.47500000001 446455.153 0, 73195.264 446458.582 0, 73193.45699999999 446457.417 0, 73190.341 446462.249 0, 73192.148 446463.414 0, 73191.08 446465.07 0))"
pand.706084,1783100000711529,2018,Bouwvergunning verleend,woonfunctie,116,116,1,"POLYGON Z ((77194.446 448383.274 0, 77191.844 448388.005 0, 77192.107 448388.15 0, 77191.095 448389.99 0, 77200.73299999999 448395.291 0, 77203.19100000001 448390.822 0, 77199.511 448388.798 0, 77200.667 448386.695 0, 77194.446 448383.274 0))"
pand.706096,1783100000711581,2018,Bouwvergunning verleend,"bijeenkomstfunctie, woonfunctie",102,127,3,"POLYGON Z ((70791.981 446759.562 0, 70788.139 446757.622 0, 70785.745 446762.361 0, 70794.245 446766.632 0, 70795.656 446763.839 0, 70797.82399999999 446764.933 0, 70796.41099999999 446767.727 0, 70805.17600000001 446772.154 0, 70808.63400000001 446765.308 0, 70800.19899999999 446761.047 0, 70800.613 446760.229 0, 70796.986 446758.398 0, 70796.548 446759.203 0, 70793.054 446757.438 0, 70791.981 446759.562 0))"
pand.706099,1783100000711590,2018,Bouwvergunning verleend,woonfunctie,137,137,1,"POLYGON Z ((77069.394 443530.328 0, 77064.24099999999 443527.925 0, 77059.97500000001 443536.917 0, 77065.11199999999 443539.354 0, 77069.394 443530.328 0))"
pand.706100,1783100000711592,2018,Bouwvergunning verleend,woonfunctie,140,140,1,"POLYGON Z ((77054.361 443534.572 0, 77059.852 443537.177 0, 77064.24099999999 443527.925 0, 77058.95299999999 443525.379 0, 77054.361 443534.572 0))"
pand.706101,1783100000711594,2018,Bouwvergunning verleend,woonfunctie,135,135,1,"POLYGON Z ((77054.49400000001 443534.305 0, 77058.952 443525.406 0, 77053.834 443522.896 0, 77049.49099999999 443531.749 0, 77054.49400000001 443534.305 0))"
pand.706102,1783100000711596,2018,Bouwvergunning verleend,woonfunctie,135,135,1,"POLYGON Z ((77044.56299999999 443529.568 0, 77049.478 443532.04 0, 77053.834 443522.896 0, 77048.868 443520.531 0, 77044.56299999999 443529.568 0))"
