id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.9071803,1916100000366538,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86201.455 456135.76 0, 86205.666 456128.866 0, 86191.875 456120.462 0, 86184.363 456125.291 0, 86201.455 456135.76 0))"
pand.9071804,1916100000366545,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86164.186 456250.626 0, 86171.685 456253.972 0, 86177.56600000001 456244.257 0, 86170.702 456240.075 0, 86164.186 456250.626 0))"
pand.9071807,1916100000366575,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86347.598 456086.473 0, 86342.91899999999 456083.701 0, 86327.568 456074.623 0, 86321.33900000001 456080.176 0, 86343.508 456093.376 0, 86347.598 456086.473 0))"
pand.9071810,1916100000366582,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86283.023 456239.435 0, 86273.912 456234.014 0, 86269.825 456240.911 0, 86278.98 456246.258 0, 86283.023 456239.435 0))"
pand.9071812,1916100000366585,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86262.05 456092.405 0, 86257.897 456099.365 0, 86247.65700000001 456116.526 0, 86251.535 456118.832 0, 86252.833 456119.36 0, 86253.603 456119.598 0, 86254.03999999999 456119.734 0, 86255.81600000001 456120.032 0, 86257.534 456120.033 0, 86259.641 456119.687 0, 86261.33199999999 456119.161 0, 86262.931 456118.331 0, 86264.808 456117.042 0, 86273.91 456108.932 0, 86280.27499999999 456103.261 0, 86262.05 456092.405 0))"
pand.9071814,1916100000366590,2016,Bouw gestart,industriefunctie,8,50,11,"POLYGON Z ((86297.458 456195.417 0, 86281.87300000001 456185.994 0, 86279.15300000001 456190.585 0, 86294.827 456199.777 0, 86297.458 456195.417 0))"
pand.9071815,1916100000366596,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86322.80899999999 456128.226 0, 86326.95299999999 456121.233 0, 86295.923 456102.846 0, 86289.565 456108.5 0, 86322.80899999999 456128.226 0))"
pand.9071816,1916100000366597,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86295.923 456102.846 0, 86326.95299999999 456121.233 0, 86331.076 456114.274 0, 86303.962 456098.092 0, 86300.253 456100.527 0, 86295.974 456102.801 0, 86295.923 456102.846 0))"
pand.9071819,1916100000366606,2016,Bouw gestart,winkelfunctie,100,100,2,"POLYGON Z ((86318.53 456069.214 0, 86310.034 456064.159 0, 86303.00999999999 456075.942 0, 86307.77899999999 456078.786 0, 86318.53 456069.214 0))"
pand.9071820,1916100000366611,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86256.84 456079.507 0, 86266.319 456085.144 0, 86266.17200000001 456085.391 0, 86286.649 456097.582 0, 86287.625 456096.155 0, 86288.414 456095.001 0, 86289.742 456093.239 0, 86290.698 456091.969 0, 86291.519 456091.078 0, 86292.042 456090.509 0, 86293.569 456088.851 0, 86295.24800000001 456087.258 0, 86297.299 456085.442 0, 86299.56600000001 456083.685 0, 86303.09699999999 456081.319 0, 86305.45299999999 456079.957 0, 86304.573 456079.467 0, 86269.326 456058.508 0, 86260.799 456072.848 0, 86256.84 456079.507 0))"
pand.9071821,1916100000366613,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86280.27499999999 456103.261 0, 86286.649 456097.582 0, 86266.17200000001 456085.391 0, 86265.321 456086.922 0, 86262.05 456092.405 0, 86280.27499999999 456103.261 0))"
pand.9071823,1916100000366618,2016,Bouw gestart,winkelfunctie,100,100,6,"POLYGON Z ((86343.673 456150.089 0, 86325.33199999999 456139.23 0, 86318.611 456135.311 0, 86322.80899999999 456128.226 0, 86289.565 456108.5 0, 86273.97100000001 456122.366 0, 86274.45600000001 456122.651 0, 86329.011 456154.724 0, 86334.806 456160.164 0, 86342.42 456152.251 0, 86343.673 456150.089 0))"
pand.9071826,1916100000366621,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86327.568 456074.623 0, 86342.91899999999 456083.701 0, 86347.12300000001 456076.656 0, 86334.012 456068.879 0, 86327.568 456074.623 0))"
pand.9071830,1916100000366627,2016,Bouw gestart,winkelfunctie,100,100,4,"POLYGON Z ((86287.88800000001 456211.276 0, 86296.62300000001 456216.483 0, 86306.069 456200.541 0, 86297.458 456195.417 0, 86287.88800000001 456211.276 0))"
pand.9071831,1916100000366628,2016,Bouw gestart,winkelfunctie,100,100,4,"POLYGON Z ((86132.83100000001 456158.312 0, 86163.67600000001 456177.333 0, 86171.431 456164.758 0, 86169.773 456163.736 0, 86146.632 456149.466 0, 86132.83100000001 456158.312 0))"
pand.9071832,1916100000366634,2016,Bouw gestart,winkelfunctie,100,100,8,"POLYGON Z ((86066.512 456181.548 0, 86070.89200000001 456174.15 0, 86075.09299999999 456167.055 0, 86079.31 456159.935 0, 86086.469 456164.228 0, 86090.659 456157.152 0, 86097.917 456144.894 0, 86097.126 456144.426 0, 86086.08100000001 456151.543 0, 86085.06 456151.987 0, 86080.518 456151.275 0, 86076.821 456150.597 0, 86075.43799999999 456150.821 0, 86074.21000000001 456151.748 0, 86061.742 456172.887 0, 86061.602 456173.542 0, 86061.56 456174.739 0, 86061.856 456175.86 0, 86062.386 456176.885 0, 86062.645 456177.177 0, 86066.512 456181.548 0))"
pand.9071834,1916100000366639,2016,Bouw gestart,"industriefunctie, winkelfunctie",100,100,16,"POLYGON Z ((86102.30499999999 456106.345 0, 86115.95699999999 456114.429 0, 86101.406 456139.002 0, 86090.659 456157.152 0, 86092.58100000001 456158.293 0, 86113.564 456122.857 0, 86113.87699999999 456123.042 0, 86125.19899999999 456103.92 0, 86136.936 456111.037 0, 86145.652 456096.316 0, 86166.473 456108.645 0, 86166.883 456108.888 0, 86166.87300000001 456108.903 0, 86169.72 456110.589 0, 86170.787 456108.786 0, 86171.439 456107.677 0, 86118.723 456076.467 0, 86114.265 456084.025 0, 86115.19500000001 456084.575 0, 86102.30499999999 456106.345 0))"
pand.9071836,1916100000366645,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86070.89200000001 456174.15 0, 86080.59699999999 456179.898 0, 86088.54399999999 456175.049 0, 86075.09299999999 456167.055 0, 86070.89200000001 456174.15 0))"
pand.9071837,1916100000366647,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86154.09299999999 456144.691 0, 86174.007 456156.783 0, 86180.932 456161.033 0, 86185.124 456154.134 0, 86161.64999999999 456139.855 0, 86154.09299999999 456144.691 0))"
pand.9071838,1916100000366648,2016,Bouw gestart,winkelfunctie,100,100,4,"POLYGON Z ((86075.09299999999 456167.055 0, 86088.564 456175.036 0, 86096.458 456170.219 0, 86086.469 456164.228 0, 86079.31 456159.935 0, 86075.09299999999 456167.055 0))"
pand.9071839,1916100000366650,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86197.27099999999 456142.61 0, 86201.455 456135.76 0, 86184.363 456125.291 0, 86176.81200000001 456130.152 0, 86197.27099999999 456142.61 0))"
pand.9071840,1916100000366651,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86086.469 456164.228 0, 86096.458 456170.219 0, 86104.451 456165.341 0, 86092.58100000001 456158.293 0, 86090.659 456157.152 0, 86086.469 456164.228 0))"
pand.9071841,1916100000366653,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86200.44899999999 456144.546 0, 86176.81200000001 456130.152 0, 86169.197 456135.025 0, 86196.2 456151.471 0, 86200.44899999999 456144.546 0))"
pand.9071842,1916100000366654,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86092.58100000001 456158.293 0, 86104.451 456165.341 0, 86112.444 456160.463 0, 86096.754 456151.245 0, 86092.58100000001 456158.293 0))"
